Date,Open,High,Low,Close,Volume
9-Dec-16,115.16,116.43,115.03,116.23,2915337
8-Dec-16,116.34,117.14,114.83,115.65,5211971
7-Dec-16,113.37,116.81,112.81,116.51,7456760
6-Dec-16,113.34,113.66,112.66,113.07,2545556
5-Dec-16,112.90,113.80,112.71,112.88,3026269
2-Dec-16,113.96,114.00,112.17,112.45,3537095
1-Dec-16,113.24,114.05,112.81,113.67,3807541
30-Nov-16,113.73,114.74,113.28,113.94,5896813
29-Nov-16,113.46,114.49,113.29,113.34,3334551
28-Nov-16,114.16,114.19,113.34,113.85,2617445
25-Nov-16,113.92,114.36,113.52,114.17,831276
23-Nov-16,112.77,113.96,112.77,113.83,2630418
22-Nov-16,112.53,112.76,112.10,112.52,2152556
21-Nov-16,112.24,112.48,111.78,112.21,2523254
18-Nov-16,112.98,113.00,111.89,112.09,2879131
17-Nov-16,112.59,113.39,112.44,113.10,2193113
16-Nov-16,112.47,112.83,111.87,112.27,2472485
15-Nov-16,113.06,113.44,112.09,113.12,2793997
14-Nov-16,113.62,114.36,112.84,113.04,2677070
11-Nov-16,113.11,113.51,112.74,113.25,3295715
10-Nov-16,113.11,114.50,112.82,113.19,6553559
9-Nov-16,111.05,113.14,109.73,112.36,4567463
8-Nov-16,111.00,111.51,110.51,110.62,3281938
7-Nov-16,109.83,111.34,109.45,111.25,4672502
4-Nov-16,108.48,109.20,108.01,108.25,3140285
3-Nov-16,108.75,108.82,108.01,108.35,3741822
2-Nov-16,109.39,109.39,108.01,108.46,4639498
1-Nov-16,109.87,110.19,108.83,109.15,2931513
31-Oct-16,109.96,110.17,109.52,109.68,2542359
28-Oct-16,109.40,110.88,108.93,109.83,2878656
27-Oct-16,109.76,109.89,108.42,108.83,2912052
26-Oct-16,108.86,109.75,108.54,109.43,2133682
25-Oct-16,109.50,109.51,108.61,109.07,3532951
24-Oct-16,109.43,110.12,108.81,109.26,3455660
21-Oct-16,107.96,109.60,107.51,108.96,3373386
20-Oct-16,108.08,108.58,107.72,108.14,4080660
19-Oct-16,108.01,108.66,107.41,108.27,3126166
18-Oct-16,109.16,109.17,107.71,107.87,3258816
17-Oct-16,108.86,109.40,107.96,108.04,3621559
14-Oct-16,109.99,110.07,108.55,109.00,5307134
13-Oct-16,106.83,108.68,106.55,108.26,5118365
12-Oct-16,105.83,107.75,105.73,107.43,7245113
11-Oct-16,106.43,106.43,105.26,105.78,8347150
10-Oct-16,107.27,107.96,106.21,106.80,8423126
7-Oct-16,107.02,107.56,105.25,106.94,20446322
6-Oct-16,115.32,115.89,115.00,115.61,3271259
5-Oct-16,115.10,115.82,115.10,115.26,2122923
4-Oct-16,115.97,115.98,114.58,114.88,2522176
3-Oct-16,115.81,116.29,115.43,116.05,2481259
30-Sep-16,116.64,117.00,116.05,116.59,3837728
29-Sep-16,117.72,117.72,116.14,116.19,1877042
28-Sep-16,116.47,117.26,115.86,117.16,3331239
27-Sep-16,115.67,116.45,115.22,116.21,3689162
26-Sep-16,115.74,116.84,115.39,115.94,2606458
23-Sep-16,115.31,116.40,115.27,115.98,2348311
22-Sep-16,116.40,117.27,116.20,116.83,2896305
21-Sep-16,114.96,115.95,114.49,115.93,2438566
20-Sep-16,115.35,115.79,114.73,114.87,2859186
19-Sep-16,114.87,115.68,114.46,114.54,2955798
16-Sep-16,114.77,114.86,113.49,114.26,3917058
15-Sep-16,113.78,115.49,113.66,115.28,3300098
14-Sep-16,111.76,114.28,111.76,114.03,4378486
13-Sep-16,112.83,112.97,111.29,111.60,3876828
12-Sep-16,111.27,114.01,111.00,113.49,3809035
9-Sep-16,112.86,113.35,111.76,112.01,4537804
8-Sep-16,114.00,114.53,113.53,113.82,2704125
7-Sep-16,115.52,115.73,113.73,114.24,3416196
6-Sep-16,116.45,116.59,115.01,115.71,2194169
2-Sep-16,116.26,116.94,115.81,116.39,2468105
1-Sep-16,116.40,116.78,115.14,116.13,2868090
31-Aug-16,116.96,117.13,116.41,116.71,2052672
30-Aug-16,117.20,117.41,116.85,117.02,1946880
