Date,Open,High,Low,Close,Volume
9-Dec-16,81.85,82.72,80.72,81.75,1759471
8-Dec-16,80.75,81.76,80.34,81.38,1413588
7-Dec-16,79.88,82.08,79.03,80.86,1764038
6-Dec-16,80.01,80.61,78.12,79.92,2302963
5-Dec-16,80.01,82.00,79.86,81.31,2336270
2-Dec-16,77.46,79.90,77.31,79.45,2217503
1-Dec-16,77.42,79.66,75.82,77.85,4134889
30-Nov-16,69.35,76.16,69.35,75.65,5427724
29-Nov-16,66.55,67.90,65.73,67.57,2081996
28-Nov-16,70.19,70.27,68.37,68.43,1916988
25-Nov-16,69.77,70.01,69.34,69.60,739962
23-Nov-16,68.94,70.25,68.84,70.23,1471890
22-Nov-16,69.73,70.10,68.62,69.47,1989721
21-Nov-16,69.70,70.10,68.05,69.12,2664287
18-Nov-16,67.53,68.86,67.41,68.25,1441933
17-Nov-16,66.51,67.94,66.43,67.18,2127861
16-Nov-16,66.29,66.61,65.19,65.94,1276401
15-Nov-16,64.30,66.86,64.30,66.64,2149323
14-Nov-16,61.90,64.00,61.77,63.78,2287020
11-Nov-16,63.02,63.40,61.21,62.17,1387655
10-Nov-16,63.12,64.23,62.64,63.69,2395959
9-Nov-16,62.46,64.38,62.16,63.56,2247397
8-Nov-16,61.72,62.80,61.18,62.48,1401640
7-Nov-16,63.26,63.46,61.80,62.46,1720881
4-Nov-16,62.10,62.82,60.51,62.42,2953186
3-Nov-16,62.68,62.93,61.59,62.49,1335152
2-Nov-16,62.79,63.27,60.39,62.38,2761568
1-Nov-16,63.79,64.22,62.80,63.68,1880137
31-Oct-16,63.19,63.58,62.71,63.11,1995227
28-Oct-16,64.00,64.88,62.96,63.44,1349835
27-Oct-16,65.31,65.64,63.70,64.16,1455101
26-Oct-16,64.84,65.23,63.55,64.88,1858977
25-Oct-16,66.27,67.07,65.46,65.51,1151039
24-Oct-16,66.53,66.65,64.77,66.42,2078701
21-Oct-16,66.27,66.73,65.49,66.48,1602557
20-Oct-16,67.51,67.60,66.50,66.98,1502522
19-Oct-16,67.93,69.38,67.20,68.24,1848211
18-Oct-16,68.04,68.39,66.77,67.17,1326633
17-Oct-16,68.50,69.04,65.61,66.79,2504792
14-Oct-16,69.81,69.97,68.54,68.67,806608
13-Oct-16,68.72,69.75,68.09,69.45,917726
12-Oct-16,68.90,69.36,68.42,69.06,938415
11-Oct-16,69.22,69.35,68.35,69.26,1372943
10-Oct-16,69.38,70.39,69.16,69.72,1403130
7-Oct-16,69.41,69.44,68.29,68.58,1757705
6-Oct-16,69.06,70.15,68.60,69.14,1334852
5-Oct-16,67.73,69.30,67.61,68.68,1861979
4-Oct-16,67.69,68.16,66.46,67.04,1448829
3-Oct-16,67.43,68.08,65.97,67.47,1931957
30-Sep-16,66.02,67.90,65.46,67.30,3040387
29-Sep-16,63.27,66.88,63.13,65.26,5202108
28-Sep-16,58.76,62.94,58.61,62.78,2905300
27-Sep-16,56.87,58.52,56.50,58.27,2148937
26-Sep-16,57.74,58.20,57.35,57.53,1477318
23-Sep-16,59.06,59.98,57.30,57.59,1504970
22-Sep-16,60.08,60.46,59.25,59.62,1063934
21-Sep-16,57.01,59.07,56.96,59.02,1629901
20-Sep-16,57.48,57.48,56.19,56.46,1770403
19-Sep-16,58.04,58.35,57.29,57.32,1351357
16-Sep-16,56.82,58.19,56.65,57.61,2670338
15-Sep-16,57.34,58.43,57.15,57.77,1353077
14-Sep-16,56.94,58.91,56.63,57.28,1848269
13-Sep-16,58.87,59.30,56.66,57.18,2606473
12-Sep-16,59.37,60.06,58.80,59.76,1730292
9-Sep-16,62.02,62.73,59.82,59.83,1544164
8-Sep-16,63.30,63.76,61.54,62.88,2301006
7-Sep-16,62.96,63.36,61.99,62.82,1399026
6-Sep-16,61.38,62.87,60.79,62.68,2096633
2-Sep-16,61.01,61.82,60.08,60.19,1449815
1-Sep-16,60.00,60.48,59.46,60.30,1889428
31-Aug-16,61.00,61.47,60.09,60.46,1248547
30-Aug-16,62.83,63.46,61.02,61.36,981896
29-Aug-16,62.06,63.47,62.00,62.57,796029
26-Aug-16,62.78,63.40,61.86,62.43,2026350
25-Aug-16,63.25,63.68,62.45,62.61,995174
24-Aug-16,62.67,63.52,62.67,63.17,1352783
23-Aug-16,62.56,63.64,62.21,63.26,1449217
22-Aug-16,63.38,63.38,62.08,62.58,1074824
19-Aug-16,64.00,64.56,63.37,64.24,1143175
18-Aug-16,62.84,65.32,62.84,64.67,2018957
17-Aug-16,62.81,62.89,61.59,62.37,1184651
16-Aug-16,62.78,63.50,62.18,62.95,1371762
15-Aug-16,62.04,63.33,61.93,62.60,1185510
12-Aug-16,62.76,62.76,61.56,61.87,1147139
11-Aug-16,62.52,63.09,62.01,62.46,1392624
10-Aug-16,63.88,64.09,62.91,63.08,1624975
9-Aug-16,64.85,64.85,63.15,63.80,1124799
8-Aug-16,64.01,65.19,63.78,64.72,1597742
5-Aug-16,62.43,63.49,62.10,63.22,1206495
4-Aug-16,62.97,63.83,62.25,62.37,1288223
3-Aug-16,61.67,63.29,61.35,63.03,2137640
2-Aug-16,61.59,62.29,59.93,61.73,2024995
1-Aug-16,61.62,61.70,60.12,60.75,2302005
29-Jul-16,60.46,62.17,60.41,61.97,1559144
28-Jul-16,61.99,63.50,60.42,61.15,2525023
27-Jul-16,64.30,64.76,62.27,62.97,2015059
26-Jul-16,62.61,64.31,62.46,64.23,1322156
25-Jul-16,64.15,64.50,62.89,62.92,1509886
22-Jul-16,64.51,64.96,63.37,64.87,1981333
21-Jul-16,65.77,66.63,63.88,64.10,1580806
20-Jul-16,65.99,66.80,64.68,65.73,1718425
19-Jul-16,67.49,68.27,66.29,66.58,1512151
18-Jul-16,68.34,68.52,67.23,68.19,1365479
15-Jul-16,68.99,69.97,68.36,68.72,1576502
14-Jul-16,69.79,70.28,68.36,68.37,1609937
13-Jul-16,69.70,70.00,67.67,68.72,1543128
12-Jul-16,67.94,70.00,67.77,69.77,2146338
11-Jul-16,66.92,68.08,66.02,66.17,1308647
8-Jul-16,66.20,66.98,65.44,66.45,1040681
7-Jul-16,65.89,67.80,64.62,65.18,1576367
6-Jul-16,64.92,65.44,63.92,65.02,1702657
